ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,13,ELIGE,DANIELA MICHELLE DÌAZ BARRIOS,ELVIRA ARCELIA FLORE AMEZCUA
9,13,PES,ALFONSO EVARISTO HERNANDEZ  DE ANDA,MARIO VALEZ REYNA
9,13,FXM,THAIS ISADORA CRUZ FLORES,NANCY AGUILERA GARCIA
9,13,MOVIMIENTO CIUDADANO,RODRIGO SAVAL PASQUEL ,JOSE EVERARDO FONSECA LOPEZ
9,13,PRI-PRD,ROSA ELENA GARFIAS GARCIA,BRENDA IVONNE GARCIA MARTINEZ
9,13,PAN,AMERICA ALEJANDRA RANGEL LORENZANA,GABRIELA ECHEGOYEN ALMAZAN
9,13,RSP,JOSE LUIS ARDENAS CORTES,ROBERTO DE JESÚS VELÁZQUEZ LOZANO
9,14,PT-MORENA,CARLOS HERNANDEZ MIRON ,JONATHAN MEDINA LARA
9,14,PVEM,XIMENA LOPEZ RODRÍGUEZ,ANLLY YEIMY MARIN MENDOZA
9,14,ELIGE,JUAN MANUEL GUERRERO ALMARAZ,KARLA ANDREA SANCHEZ VAZQUEZ 
9,14,PES,FELIPE DE JESUS SANCHEZ LUJANO,MARIO ARTURO PADILLA FELIX
9,14,FXM,JERSON IBZAN GARCÍA SEGURA,PORFIRIO ZAVALA GÓMEZ
9,14,MOVIMIENTO CIUDADANO,RAÚL HERNANDEZ VEGA,DANIEL RAMÍREZ MORALES
9,14,PAN,LUIS ALBERTO CHÁVEZ GARCÍA,FRIDA FERNANDA ALCANTARA CABRERA
9,14,PRD,ALBERTO CABALLERO PALACIOS,JOSE CUAUTEMOC SERAFIN HERNANDEZ
9,14,PRI,ALEJANDRO ARGUELLES ALMONTES,PEDRO IGNACIO CASTRO ENRIQUEZ
9,14,RSP,OMAR MARTINEZ FLOREZ,HELADIO BAHENA MARTÍNEZ
9,15,PT-MORENA,MARCELA FUENTES CASTILLO,LINDA TLALI VILLALPANDO DEL PRADO
9,15,PVEM,ELIZABETH MATEOS HERNANDEZ,MARTHA PATRICIA AGUILAR RAMIREZ
9,15,ELIGE,JULIO CESAR MONTOYA ALPIZAR,LIZBETH MARIEL VERGARA RAMOS
9,15,PES,MARTHA ADRIANA AMAYA COSIO,KAREN LIZETTE VILLARREAL FLORES
9,15,FXM,LETICIA GUERRERO LOPEZ,ANABEL MARCELA OLIVER ALONSO
9,15,MOVIMIENTO CIUDADANO,JUDITH ALICIA GONEZ GARCIA ,SARAHI KAREN GARCA SANCHEZ
9,15,PAN,FERNANDO BELAUNZARAN MENDEZ,ANGEL LUNA PACHECO
9,15,PRD,DAVID RICARDO NAVA MARTINEZ,DAVID COSSIO GARCIA 
