ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,23,PAN,CLAUDIA MONTES DE OCA DEL OLMO,Ilse Ruth Ramírez Elizalde
9,23,PRD,GIOVANNA ESPERANZA ALVARADO CARRILLO,Yoseline DeSíre Soto Orduña
9,23,PRI,Jacqueline Villarreal García,Dayana Karen Peña Cortés
9,23,RSP,José Luis Jiménez García,Francisco Javier Salazar Guerrero
9,23,C-1,HUGO HERNANDEZ MENDOZA,JOSÉ PILAR GUADALUPE PUEBLA  MEJÍA
9,24,PT-MORENA,CARLOS CERVANTES GODOY,TITO  EMETERIO DOMÍNGUEZ CERÓN
9,24,PVEM,REBECA PERALTA LEON,Nidia Isabel Ancheyta Fernández
9,24,ELIGE,MIRNA JUÁEZ SAAVEDRA,ANA LIZBETH JUÁRE SAAVEDRA
9,24,PES,BALBINA CORRALES ARRIETA,TereSíta De Jesus Vargas Granados
9,24,FXM,ALINE AGUILAR MENOZA,YOLANDA CASIANO LOPEZ
9,24,MOVIMIENTO CIUDADANO,EMMANUEL ROJAS GUTIERREZ,Miguel Ángel Sánchez Flores
9,24,PAN-PRI-PRD,Gabriela Quiroga Anguiano,Verónica Daniela Álvarez Ponce de León
9,24,RSP,Ana Lilia Flores González,Arantza Sánchez Zamarripa
9,25,PT-MORENA,Circe Camacho Bastida ,Diana Laura Serralde Cruz
9,25,PVEM,Ana Julia Hernández Pérez,Verónica Sabas Adrade
9,25,ELIGE,ISMAEL MARÍN ROMERO,JOSÉ LUIS CHÁVEZ RAMÍREZ
9,25,PES,María Fernanda Pérez Carreón,Abigail Berenice Gaspar Rangel
9,25,FXM,Patricia Flores Escobar,Irma Guadarrama Anaya
9,25,MOVIMIENTO CIUDADANO,Omar de Jesus Perez Castellanos,Ivan  Rosales Juárez
9,25,PAN-PRI-PRD,Nitzia Lucero Rosas Chávez,Lorena Sánchez Becerril
9,25,RSP,PALOMA BECERRIL RAMIREZ,Nüzhet Dement Rosales Ávila
9,25,C-1,ISRAEL MORA GARDUÑO,DANIEL ALBERTO LÓPEZ ZAMORANO
9,25,C-2,ERNESTO NEGRETE GODOY,JAVIER ABAD GUZMÁN
9,26,PT-MORENA,LETICIA ESTHER VARELA MARTINEZ,Erika Mercedes Mayorga Basurto
9,26,PVEM,Araceli Citlali Nova Jiménez,Consuelo Stephanie Perea Morales
9,26,ELIGE,MARIO FRANCISCO ESTRADA CHÁVEZ,Natalia Barraza  Carbajal
9,26,PES,Lili Navas Pardillo,Karla Vanessa Flores Mota
9,26,FXM,José Oscar Casanova Islas ,Iván Josue Romo Valdovinos
9,26,MOVIMIENTO CIUDADANO,Carmen Julieta Macías Rábago,Jacqueline Gabriela Hernández Chavez
9,26,PRI-PRD,Saúl Alán Rosas Alvarado,Bernardo Navarro Guevara
9,26,PAN,Héctor Barrera Marmolejo,Juan Alberto Alcántara Samano
9,26,RSP,José Bernardo Rafael Espino del Castillo Barrón,Manuel Gálvez Cruz
